iter	Passed	Remaining
0	119	119872
1	121	60589
2	122	40751
3	123	30855
4	125	25009
5	126	21005
6	127	18147
7	129	16042
8	130	14398
9	132	13105
10	133	12031
11	135	11124
12	136	10341
13	137	9682
14	138	9126
15	140	8639
16	141	8194
17	142	7798
18	143	7434
19	145	7108
20	146	6815
21	147	6546
22	148	6297
23	149	6074
24	150	5868
25	152	5704
26	153	5545
27	155	5385
28	157	5264
29	158	5125
30	159	4990
31	160	4870
32	162	4750
33	163	4636
34	164	4528
35	165	4430
36	166	4338
37	168	4261
38	169	4179
39	170	4101
40	172	4025
41	173	3955
42	174	3886
43	175	3823
44	177	3763
45	178	3702
46	181	3681
47	183	3640
48	184	3589
49	186	3535
50	187	3482
51	188	3432
52	189	3385
53	190	3337
54	191	3291
55	192	3248
56	193	3206
57	195	3167
58	196	3131
59	197	3098
60	199	3064
61	200	3033
62	201	2998
63	202	2963
64	203	2932
65	205	2902
66	206	2871
67	207	2843
68	208	2814
69	209	2789
70	211	2764
71	213	2747
72	214	2721
73	215	2695
74	216	2670
75	217	2647
76	218	2622
77	219	2598
78	220	2575
79	222	2554
80	223	2532
81	224	2512
82	225	2488
83	226	2469
84	227	2452
85	228	2432
86	230	2414
87	231	2396
88	232	2377
89	233	2360
90	234	2341
91	235	2323
92	236	2307
93	237	2291
94	238	2275
95	240	2261
96	241	2249
97	242	2235
98	243	2220
99	245	2205
100	246	2191
101	247	2178
102	248	2163
103	249	2150
104	250	2136
105	252	2125
106	253	2113
107	254	2101
108	256	2093
109	257	2085
110	258	2074
111	260	2062
112	261	2050
113	262	2039
114	263	2028
115	264	2017
116	265	2004
117	266	1993
118	267	1983
119	269	1972
120	270	1965
121	271	1955
122	273	1946
123	274	1938
124	275	1928
125	276	1919
126	277	1908
127	278	1900
128	280	1891
129	281	1882
130	282	1872
131	283	1862
132	284	1853
133	286	1848
134	287	1841
135	288	1833
136	289	1826
137	291	1818
138	292	1809
139	293	1801
140	294	1793
141	295	1783
142	296	1775
143	297	1767
144	298	1760
145	299	1753
146	301	1748
147	302	1741
148	303	1734
149	304	1727
150	306	1720
151	307	1713
152	308	1705
153	309	1697
154	310	1690
155	311	1684
156	312	1678
157	313	1671
158	315	1666
159	316	1660
160	317	1652
161	318	1645
162	319	1638
163	320	1631
164	321	1626
165	322	1620
166	323	1613
167	324	1607
168	325	1602
169	327	1596
170	328	1590
171	329	1584
172	330	1580
173	331	1575
174	333	1570
175	334	1565
176	335	1559
177	336	1554
178	337	1548
179	339	1544
180	340	1539
181	341	1534
182	342	1528
183	343	1523
184	344	1518
185	346	1514
186	347	1511
187	349	1508
188	350	1504
189	351	1500
190	353	1495
191	354	1491
192	355	1486
193	356	1481
194	357	1476
195	358	1472
196	360	1468
197	362	1466
198	363	1462
199	364	1458
200	365	1454
201	367	1451
202	368	1446
203	369	1442
204	370	1437
205	372	1434
206	373	1431
207	375	1431
208	377	1430
209	379	1428
210	380	1424
211	382	1421
212	384	1421
213	385	1417
214	387	1413
215	388	1410
216	389	1406
217	391	1403
218	393	1401
219	394	1398
220	395	1394
221	396	1390
222	398	1386
223	399	1382
224	400	1378
225	401	1375
226	402	1371
227	403	1366
228	405	1363
229	407	1362
230	408	1360
231	409	1357
232	411	1353
233	412	1349
234	413	1345
235	414	1342
236	415	1338
237	416	1334
238	417	1330
239	418	1326
240	420	1324
241	422	1323
242	423	1320
243	425	1317
244	426	1313
245	427	1310
246	428	1306
247	429	1303
248	431	1300
249	432	1297
250	433	1293
251	434	1290
252	436	1287
253	437	1286
254	439	1283
255	440	1280
256	441	1276
257	442	1273
258	443	1269
259	445	1266
260	446	1263
261	447	1260
262	448	1256
263	449	1253
264	451	1251
265	452	1249
266	453	1246
267	455	1242
268	456	1239
269	458	1238
270	459	1235
271	460	1232
272	461	1229
273	462	1226
274	464	1223
275	465	1221
276	467	1220
277	468	1217
278	470	1214
279	471	1211
280	472	1209
281	473	1206
282	475	1204
283	476	1200
284	477	1197
285	478	1194
286	480	1192
287	481	1190
288	483	1188
289	484	1186
290	485	1183
291	486	1180
292	487	1177
293	489	1174
294	490	1171
295	491	1168
296	492	1166
297	494	1163
298	495	1161
299	496	1159
300	498	1157
301	499	1154
302	500	1152
303	502	1149
304	503	1147
305	504	1145
306	506	1142
307	507	1139
308	508	1136
309	510	1137
310	512	1135
311	514	1133
312	515	1131
313	516	1128
314	517	1125
315	518	1123
316	520	1120
317	521	1118
318	522	1115
319	523	1112
320	525	1110
321	526	1108
322	528	1107
323	529	1104
324	530	1101
325	531	1099
326	532	1096
327	533	1094
328	535	1091
329	536	1089
330	538	1087
331	539	1085
332	540	1083
333	542	1081
334	543	1078
335	544	1076
336	546	1074
337	547	1071
338	548	1069
339	549	1067
340	550	1064
341	552	1062
342	553	1059
343	555	1059
344	557	1057
345	558	1055
346	559	1053
347	560	1050
348	562	1048
349	563	1045
350	564	1043
351	565	1041
352	566	1038
353	567	1036
354	568	1033
355	570	1031
356	571	1030
357	573	1028
358	574	1026
359	575	1023
360	576	1021
361	578	1018
362	579	1016
363	580	1014
364	581	1011
365	582	1009
366	584	1007
367	585	1005
368	587	1004
369	588	1001
370	589	999
371	590	997
372	591	994
373	593	992
374	594	990
375	595	988
376	596	985
377	597	983
378	598	981
379	600	980
380	602	978
381	603	976
382	604	974
383	606	972
384	607	969
385	608	968
386	609	966
387	610	963
388	611	961
389	613	958
390	614	956
391	615	955
392	617	954
393	618	952
394	620	949
395	621	947
396	622	945
397	623	942
398	624	941
399	625	938
400	627	936
401	628	934
402	629	932
403	631	931
404	632	929
405	634	927
406	635	925
407	636	923
408	637	921
409	638	919
410	639	916
411	640	914
412	641	912
413	642	909
414	643	907
415	645	906
416	646	904
417	648	902
418	649	900
419	650	898
420	652	896
421	653	894
422	654	892
423	655	890
424	656	888
425	657	886
426	658	884
427	660	882
428	662	881
429	663	879
430	664	877
431	665	875
432	666	873
433	668	871
434	669	869
435	670	867
436	671	865
437	672	862
438	674	862
439	676	860
440	678	859
441	679	857
442	680	856
443	681	853
444	683	851
445	684	849
446	685	847
447	686	845
448	687	843
449	688	841
450	689	839
451	691	837
452	692	836
453	693	834
454	695	832
455	696	830
456	697	828
457	698	826
458	699	824
459	700	822
460	702	820
461	703	818
462	704	817
463	705	815
464	707	813
465	708	812
466	709	810
467	711	808
468	712	806
469	713	804
470	715	803
471	716	801
472	717	799
473	718	797
474	720	795
475	721	794
476	723	793
477	724	791
478	725	789
479	726	787
480	728	785
481	729	783
482	730	781
483	731	779
484	732	777
485	733	775
486	734	774
487	736	772
488	738	771
489	739	769
490	740	767
491	741	765
492	742	763
493	744	762
494	745	760
495	746	758
496	747	756
497	748	754
498	749	752
499	751	751
500	752	749
501	754	748
502	755	746
503	756	744
504	757	742
505	758	740
506	759	738
507	760	736
508	761	734
509	763	733
510	764	731
511	765	729
512	767	728
513	768	726
514	769	724
515	771	723
516	772	721
517	773	720
518	775	718
519	776	716
520	777	715
521	779	713
522	780	711
523	781	710
524	783	708
525	784	706
526	785	705
527	786	703
528	787	701
529	788	699
530	790	697
531	791	696
532	792	694
533	793	692
534	794	690
535	796	689
536	797	687
537	798	685
538	799	683
539	800	682
540	801	680
541	802	678
542	803	676
543	804	674
544	805	672
545	807	671
546	808	669
547	809	667
548	810	665
549	811	664
550	813	662
551	814	660
552	815	659
553	816	657
554	817	655
555	818	653
556	819	651
557	820	650
558	821	648
559	822	646
560	823	644
561	825	643
562	827	642
563	828	640
564	829	638
565	830	637
566	831	635
567	832	633
568	833	631
569	835	630
570	836	628
571	837	626
572	838	624
573	839	623
574	841	621
575	842	620
576	843	618
577	845	617
578	846	615
579	847	613
580	848	611
581	849	610
582	850	608
583	852	606
584	853	605
585	854	603
586	855	601
587	856	600
588	858	598
589	859	597
590	860	595
591	861	593
592	862	591
593	863	590
594	864	588
595	865	586
596	866	585
597	867	583
598	868	581
599	870	580
600	871	578
601	873	577
602	874	575
603	876	574
604	877	572
605	878	571
606	879	569
607	881	568
608	882	566
609	883	564
610	884	563
611	886	561
612	887	560
613	888	558
614	889	557
615	890	555
616	892	553
617	893	552
618	894	550
619	895	548
620	896	547
621	897	545
622	898	543
623	900	542
624	901	540
625	903	539
626	904	537
627	905	536
628	906	534
629	907	533
630	909	531
631	910	529
632	911	528
633	912	526
634	913	525
635	914	523
636	916	522
637	917	520
638	918	519
639	919	517
640	921	515
641	922	514
642	923	512
643	924	511
644	925	509
645	927	508
646	928	506
647	929	504
648	931	503
649	932	502
650	933	500
651	934	498
652	935	497
653	937	495
654	938	494
655	939	492
656	940	491
657	941	489
658	943	488
659	944	486
660	945	485
661	947	483
662	948	481
663	949	480
664	950	478
665	951	477
666	953	475
667	954	474
668	955	472
669	956	471
670	958	469
671	959	468
672	960	466
673	962	465
674	963	463
675	964	462
676	965	460
677	966	459
678	967	457
679	968	455
680	969	454
681	970	452
682	972	451
683	973	449
684	974	448
685	975	446
686	977	445
687	978	443
688	979	442
689	980	440
690	981	439
691	983	437
692	984	436
693	985	434
694	986	432
695	987	431
696	988	429
697	990	428
698	992	427
699	993	425
700	994	424
701	996	422
702	997	421
703	999	420
704	1000	418
705	1001	417
706	1003	415
707	1008	415
708	1009	414
709	1010	412
710	1012	411
711	1013	409
712	1014	408
713	1016	407
714	1017	405
715	1018	404
716	1020	402
717	1023	401
718	1024	400
719	1025	398
720	1026	397
721	1028	395
722	1029	394
723	1030	392
724	1031	391
725	1033	389
726	1034	388
727	1036	387
728	1038	386
729	1039	384
730	1042	383
731	1043	382
732	1045	380
733	1046	379
734	1047	377
735	1048	376
736	1050	374
737	1051	373
738	1053	371
739	1054	370
740	1055	369
741	1056	367
742	1058	366
743	1059	364
744	1060	363
745	1061	361
746	1063	360
747	1064	358
748	1066	357
749	1068	356
750	1069	354
751	1072	353
752	1073	352
753	1074	350
754	1075	349
755	1076	347
756	1077	346
757	1079	344
758	1080	343
759	1082	341
760	1083	340
761	1084	338
762	1086	337
763	1087	335
764	1089	334
765	1090	333
766	1091	331
767	1092	330
768	1094	328
769	1095	327
770	1096	325
771	1098	324
772	1099	322
773	1100	321
774	1101	319
775	1103	318
776	1104	316
777	1105	315
778	1106	313
779	1107	312
780	1108	310
781	1110	309
782	1111	308
783	1113	306
784	1114	305
785	1115	303
786	1116	302
787	1117	300
788	1119	299
789	1120	297
790	1121	296
791	1122	294
792	1123	293
793	1124	291
794	1126	290
795	1128	289
796	1129	287
797	1130	286
798	1131	284
799	1133	283
800	1134	281
801	1136	280
802	1137	279
803	1139	277
804	1143	277
805	1145	275
806	1146	274
807	1147	272
808	1149	271
809	1151	269
810	1152	268
811	1153	267
812	1154	265
813	1155	264
814	1157	262
815	1158	261
816	1159	259
817	1160	258
818	1161	256
819	1163	255
820	1164	253
821	1165	252
822	1166	250
823	1167	249
824	1168	247
825	1169	246
826	1171	245
827	1173	243
828	1174	242
829	1175	240
830	1176	239
831	1177	237
832	1178	236
833	1180	234
834	1181	233
835	1182	231
836	1183	230
837	1184	228
838	1185	227
839	1187	226
840	1188	224
841	1190	223
842	1191	221
843	1192	220
844	1193	218
845	1194	217
846	1195	216
847	1196	214
848	1197	213
849	1199	211
850	1200	210
851	1201	208
852	1203	207
853	1204	205
854	1205	204
855	1206	202
856	1207	201
857	1208	200
858	1209	198
859	1210	197
860	1212	195
861	1213	194
862	1214	192
863	1215	191
864	1216	189
865	1218	188
866	1219	187
867	1220	185
868	1221	184
869	1222	182
870	1223	181
871	1225	179
872	1226	178
873	1227	176
874	1228	175
875	1229	174
876	1230	172
877	1231	171
878	1233	169
879	1234	168
880	1235	166
881	1236	165
882	1237	164
883	1239	162
884	1240	161
885	1241	159
886	1242	158
887	1243	156
888	1245	155
889	1246	154
890	1247	152
891	1249	151
892	1250	149
893	1251	148
894	1252	146
895	1253	145
896	1254	144
897	1256	142
898	1257	141
899	1258	139
900	1259	138
901	1260	136
902	1261	135
903	1263	134
904	1264	132
905	1266	131
906	1267	129
907	1268	128
908	1269	127
909	1271	125
910	1272	124
911	1273	122
912	1274	121
913	1275	119
914	1276	118
915	1278	117
916	1279	115
917	1280	114
918	1281	112
919	1282	111
920	1283	110
921	1284	108
922	1286	107
923	1287	105
924	1288	104
925	1289	103
926	1290	101
927	1292	100
928	1293	98
929	1295	97
930	1296	96
931	1297	94
932	1298	93
933	1299	91
934	1300	90
935	1301	89
936	1302	87
937	1303	86
938	1305	84
939	1306	83
940	1308	82
941	1309	80
942	1310	79
943	1311	77
944	1312	76
945	1313	75
946	1315	73
947	1316	72
948	1317	70
949	1318	69
950	1319	67
951	1320	66
952	1322	65
953	1323	63
954	1324	62
955	1326	61
956	1327	59
957	1328	58
958	1329	56
959	1330	55
960	1331	54
961	1333	52
962	1334	51
963	1335	49
964	1336	48
965	1337	47
966	1339	45
967	1340	44
968	1341	42
969	1342	41
970	1343	40
971	1344	38
972	1345	37
973	1346	35
974	1348	34
975	1349	33
976	1350	31
977	1351	30
978	1352	29
979	1354	27
980	1355	26
981	1356	24
982	1357	23
983	1358	22
984	1359	20
985	1360	19
986	1361	17
987	1362	16
988	1363	15
989	1365	13
990	1366	12
991	1367	11
992	1369	9
993	1370	8
994	1371	6
995	1372	5
996	1373	4
997	1374	2
998	1375	1
999	1377	0
